record_ID,units_sold
212834,30.0
212835,23.0
212837,8.0
212838,21.0
212839,20.0
212840,21.0
212843,51.0
212844,12.0
212845,76.0
212846,9.0
212849,46.0
212850,27.0
212853,36.0
212856,40.0
212857,25.0
212860,15.0
212861,51.0
212862,46.0
212863,12.0
212866,128.0
212867,48.0
212868,296.0
212869,29.0
212870,33.0
212872,46.0
212873,54.0
212874,33.0
212875,29.0
212876,41.0
212877,44.0
212879,19.0
212880,32.0
212881,31.0
212884,11.0
212885,32.0
212886,17.0
212888,18.0
212889,42.0
212890,16.0
212891,44.0
212892,11.0
212893,24.0
212896,32.0
212899,6.0
212900,12.0
212901,27.0
212902,16.0
212903,12.0
212905,35.0
212906,12.0
212907,54.0
212910,12.0
212911,12.0
212914,14.0
212915,93.0
212916,57.0
212917,35.0
212919,41.0
212920,54.0
212921,89.0
212924,73.0
212925,39.0
212926,158.0
212927,11.0
212929,53.0
212930,34.0
212931,20.0
212932,64.0
212933,67.0
212934,97.0
212935,11.0
212936,50.0
212937,47.0
212938,18.0
212940,35.0
212941,36.0
212942,35.0
212946,51.0
212947,41.0
212948,120.0
212949,30.0
212950,39.0
212951,31.0
212952,36.0
212954,51.0
212955,30.0
212956,25.0
212959,22.0
212960,22.0
212964,81.0
212965,29.0
212966,172.0
212967,22.0
212968,19.0
212969,31.0
212970,44.0
212971,29.0
212973,29.0
212974,31.0
212977,65.0
212978,62.0
212979,28.0
212981,21.0
212982,47.0
212983,40.0
212984,33.0
212985,46.0
212986,47.0
212987,117.0
212988,32.0
212989,169.0
212990,24.0
212991,23.0
212993,44.0
212994,44.0
212995,42.0
212996,33.0
212997,41.0
212998,69.0
212999,7.0
213001,16.0
213002,15.0
213006,21.0
213007,20.0
213011,38.0
213012,12.0
213013,64.0
213016,19.0
213017,17.0
213020,35.0
213021,150.0
213022,104.0
213023,53.0
213025,40.0
213026,41.0
213027,89.0
213031,97.0
213032,49.0
213033,240.0
213034,28.0
213035,17.0
213036,53.0
213037,61.0
213038,46.0
213039,22.0
213040,35.0
213041,71.0
213043,21.0
213048,122.0
213049,93.0
213050,43.0
213053,55.0
213054,61.0
213055,110.0
213056,45.0
213059,75.0
213060,47.0
213061,164.0
213064,56.0
213065,41.0
213066,33.0
213068,61.0
213069,92.0
213070,35.0
213072,67.0
213073,67.0
213074,34.0
213076,19.0
213077,36.0
213078,42.0
213079,20.0
213080,19.0
213081,24.0
213082,93.0
213083,30.0
213084,181.0
213085,31.0
213086,27.0
213087,39.0
213088,48.0
213089,36.0
213090,30.0
213091,52.0
213092,64.0
213093,7.0
213094,13.0
213096,16.0
213097,35.0
213098,23.0
213100,10.0
213101,22.0
213102,23.0
213103,25.0
213105,39.0
213106,57.0
213107,17.0
213108,86.0
213109,19.0
213110,33.0
213111,24.0
213113,37.0
213114,37.0
213115,6.0
213123,20.0
213127,73.0
213128,43.0
213129,28.0
213131,27.0
213132,35.0
213133,58.0
213135,50.0
213136,18.0
213137,139.0
213138,11.0
213140,32.0
213141,21.0
213142,30.0
213145,53.0
213147,10.0
213148,63.0
213149,32.0
213150,9.0
213151,20.0
213152,25.0
213153,9.0
213154,66.0
213155,25.0
213156,117.0
213157,23.0
213158,19.0
213159,35.0
213160,32.0
213161,33.0
213162,21.0
213163,34.0
213164,43.0
213167,14.0
213168,30.0
213169,193.0
213170,164.0
213171,94.0
213174,55.0
213175,75.0
213176,104.0
213179,31.0
213180,132.0
213181,62.0
213182,230.0
213183,34.0
213187,65.0
213188,54.0
213189,105.0
213191,32.0
213192,95.0
213194,24.0
213195,9.0
213197,8.0
213199,9.0
213200,25.0
213202,25.0
213204,59.0
213205,19.0
213206,59.0
213207,11.0
213208,58.0
213209,33.0
213215,87.0
213216,65.0
213217,46.0
213219,48.0
213220,47.0
213221,81.0
213225,54.0
213226,32.0
213227,197.0
213230,36.0
213231,34.0
213233,29.0
213235,78.0
213236,12.0
213238,109.0
213239,82.0
213240,44.0
213241,33.0
213242,39.0
213243,76.0
213245,72.0
213246,34.0
213247,174.0
213248,28.0
213249,15.0
213250,55.0
213251,31.0
213252,22.0
213254,37.0
213255,89.0
213256,5.0
213257,21.0
213260,13.0
213265,34.0
213268,7.0
213269,44.0
213270,51.0
213273,32.0
213275,39.0
213276,25.0
213278,9.0
213279,24.0
213280,67.0
213281,36.0
213282,16.0
213283,23.0
213285,114.0
213286,39.0
213287,230.0
213288,29.0
213289,29.0
213292,39.0
213293,28.0
213294,25.0
213296,58.0
213297,59.0
213301,26.0
213303,9.0
213304,14.0
213305,43.0
213306,32.0
213308,44.0
213309,45.0
213310,47.0
213311,21.0
213312,90.0
213314,8.0
213315,21.0
213316,20.0
213317,15.0
213320,194.0
213321,130.0
213322,28.0
213325,51.0
213326,62.0
213327,105.0
213330,39.0
213331,84.0
213332,41.0
213333,184.0
213334,15.0
213335,9.0
213336,53.0
213337,35.0
213338,21.0
213340,78.0
213341,86.0
213343,11.0
213346,193.0
213347,30.0
213348,8.0
213351,10.0
213352,39.0
213353,20.0
213354,20.0
213355,32.0
213356,32.0
213357,50.0
213358,24.0
213359,117.0
213360,10.0
213361,11.0
213363,47.0
213364,39.0
213365,36.0
213366,40.0
213367,52.0
213369,65.0
213370,62.0
213371,15.0
213372,15.0
213373,27.0
213374,31.0
213375,35.0
213376,32.0
213377,38.0
213378,66.0
213379,20.0
213380,129.0
213381,14.0
213382,12.0
213383,36.0
213384,39.0
213385,34.0
213387,34.0
213388,52.0
213390,10.0
213391,29.0
213392,31.0
213394,16.0
213395,50.0
213396,26.0
213399,61.0
213400,18.0
213401,109.0
213403,17.0
213404,18.0
213408,22.0
213409,7.0
213410,8.0
213411,14.0
213412,59.0
213413,49.0
213414,18.0
213415,15.0
213416,30.0
213417,28.0
213418,17.0
213419,13.0
213420,12.0
213421,74.0
213422,19.0
213423,103.0
213425,15.0
213426,28.0
213427,25.0
213428,22.0
213431,33.0
213432,8.0
213434,14.0
213435,59.0
213436,47.0
213437,25.0
213439,23.0
213440,27.0
213441,52.0
213444,43.0
213445,38.0
213446,19.0
213447,115.0
213448,28.0
213449,20.0
213454,59.0
213455,33.0
213456,23.0
213457,36.0
213458,49.0
213461,32.0
213462,21.0
213463,150.0
213466,29.0
213467,14.0
213471,12.0
213472,65.0
213473,42.0
213474,23.0
213476,27.0
213477,40.0
213478,53.0
213479,73.0
213480,35.0
213481,150.0
213484,31.0
213485,39.0
213486,19.0
213488,28.0
213489,41.0
213490,8.0
213491,27.0
213494,13.0
213495,14.0
213496,9.0
213497,21.0
213502,34.0
213503,15.0
213505,11.0
213506,34.0
213507,22.0
213510,35.0
213511,29.0
213512,7.0
213514,13.0
213516,52.0
213517,16.0
213518,110.0
213519,16.0
213520,13.0
213521,22.0
213522,24.0
213523,18.0
213526,30.0
213528,9.0
213530,38.0
213531,41.0
213532,26.0
213533,7.0
213535,15.0
213536,25.0
213537,29.0
213538,25.0
213540,33.0
213541,66.0
213542,20.0
213543,132.0
213545,7.0
213546,24.0
213547,37.0
213548,29.0
213550,35.0
213551,35.0
213554,18.0
213559,35.0
213560,19.0
213561,31.0
213562,43.0
213563,43.0
213564,55.0
213565,17.0
213566,88.0
213567,30.0
213568,23.0
213572,24.0
213573,30.0
213574,23.0
213575,8.0
213576,9.0
213577,24.0
213578,14.0
213579,20.0
213580,26.0
213581,79.0
213582,17.0
213583,110.0
213584,13.0
213587,46.0
213588,31.0
213591,41.0
213593,66.0
213594,66.0
213597,17.0
213598,25.0
213599,33.0
213600,18.0
213601,19.0
213602,26.0
213603,67.0
213604,30.0
213605,151.0
213606,30.0
213607,21.0
213608,34.0
213609,26.0
213610,23.0
213612,26.0
213613,34.0
213614,21.0
213615,149.0
213616,118.0
213617,42.0
213619,58.0
213620,66.0
213621,102.0
213624,36.0
213625,76.0
213626,55.0
213627,290.0
213630,55.0
213631,42.0
213635,87.0
213639,42.0
213640,35.0
213641,10.0
213643,11.0
213644,27.0
213645,24.0
213648,59.0
213649,17.0
213650,142.0
213651,22.0
213652,20.0
213653,26.0
213654,18.0
213658,30.0
213660,15.0
213661,16.0
213663,9.0
213664,23.0
213665,50.0
213666,25.0
213669,82.0
213670,30.0
213671,146.0
213673,19.0
213674,68.0
213675,32.0
213678,45.0
213681,46.0
213682,47.0
213683,24.0
213685,21.0
213686,48.0
213687,45.0
213688,45.0
213689,51.0
213690,45.0
213691,69.0
213692,32.0
213693,165.0
213694,16.0
213696,32.0
213697,25.0
213698,23.0
213699,37.0
213700,59.0
213701,45.0
213703,50.0
213704,46.0
213707,20.0
213708,30.0
213709,48.0
213711,40.0
213712,19.0
213713,116.0
213716,31.0
213720,42.0
213723,97.0
213724,67.0
213725,23.0
213727,38.0
213728,46.0
213729,65.0
213733,50.0
213734,40.0
213735,158.0
213736,47.0
213737,31.0
213738,22.0
213741,49.0
213743,197.0
213744,118.0
213745,71.0
213748,53.0
213749,57.0
213750,104.0
213752,107.0
213753,54.0
213754,315.0
213755,37.0
213756,32.0
213758,62.0
213759,47.0
213760,34.0
213761,34.0
213762,45.0
213763,141.0
213764,6.0
213765,24.0
213768,215.0
213769,165.0
213770,58.0
213771,14.0
213773,66.0
213774,70.0
213775,121.0
213779,98.0
213780,54.0
213781,273.0
213782,18.0
213783,13.0
213785,73.0
213786,42.0
213787,67.0
213788,38.0
213789,73.0
213790,121.0
213792,17.0
213796,18.0
213797,14.0
213798,9.0
213799,8.0
213800,11.0
213801,32.0
213802,25.0
213805,74.0
213806,22.0
213807,82.0
213808,6.0
213809,18.0
213811,39.0
213814,39.0
213816,19.0
213817,26.0
213819,9.0
213820,17.0
213821,14.0
213824,47.0
213825,16.0
213826,45.0
213829,14.0
213830,42.0
213831,30.0
213833,22.0
213834,21.0
213835,8.0
213838,10.0
213840,17.0
213842,22.0
213844,13.0
213848,110.0
213849,85.0
213850,40.0
213851,34.0
213852,39.0
213853,66.0
213857,62.0
213858,39.0
213859,143.0
213860,17.0
213861,9.0
213862,43.0
213863,33.0
213865,31.0
213866,43.0
213867,73.0
213870,65.0
213871,30.0
213874,32.0
213875,36.0
213878,48.0
213879,20.0
213880,149.0
213883,30.0
213884,15.0
213885,9.0
213888,44.0
213891,139.0
213892,85.0
213893,40.0
213895,34.0
213896,52.0
213897,86.0
213900,74.0
213901,40.0
213902,200.0
213903,28.0
213905,40.0
213906,26.0
213907,43.0
213909,35.0
213910,74.0
213912,20.0
213913,19.0
213918,24.0
213919,16.0
213922,24.0
213923,70.0
213924,16.0
213925,94.0
213926,6.0
213928,12.0
213930,36.0
213932,33.0
213935,31.0
213936,32.0
213939,13.0
213940,16.0
213942,66.0
213943,20.0
213944,110.0
213945,25.0
213946,20.0
213947,30.0
213948,26.0
213949,23.0
213951,25.0
213952,35.0
213954,14.0
213955,17.0
213956,14.0
213960,15.0
213961,39.0
213962,22.0
213963,39.0
213964,36.0
213965,26.0
213966,55.0
213967,29.0
213968,81.0
213971,18.0
213972,25.0
213973,17.0
213976,146.0
213977,89.0
213978,60.0
213979,25.0
213980,15.0
213981,61.0
213982,97.0
213983,132.0
213985,25.0
213986,14.0
213987,167.0
213988,82.0
213989,364.0
213990,35.0
213991,18.0
213994,77.0
213995,61.0
213996,71.0
213998,87.0
213999,130.0
214000,6.0
214001,31.0
214002,17.0
214004,53.0
214005,39.0
214006,22.0
214008,39.0
214009,42.0
214010,59.0
214011,37.0
214014,40.0
214015,38.0
214016,134.0
214017,48.0
214018,26.0
214019,59.0
214021,88.0
214022,62.0
214023,82.0
214024,67.0
214025,32.0
214026,34.0
214027,39.0
214028,61.0
214032,52.0
214033,46.0
214034,153.0
214035,51.0
214036,37.0
214040,48.0
214041,6.0
214043,192.0
214044,141.0
214045,86.0
214048,82.0
214049,98.0
214050,121.0
214051,15.0
214054,159.0
214055,75.0
214056,345.0
214057,30.0
214061,78.0
214062,101.0
214063,96.0
214065,74.0
214066,150.0
214067,24.0
214070,73.0
214071,59.0
214072,19.0
214073,16.0
214074,33.0
214075,39.0
214076,32.0
214077,19.0
214078,43.0
214079,122.0
214080,30.0
214081,186.0
214082,31.0
214083,35.0
214084,46.0
214085,68.0
214086,64.0
214088,46.0
214089,79.0
214090,6.0
214092,16.0
214096,27.0
214097,19.0
214098,22.0
214099,19.0
214100,79.0
214101,28.0
214102,102.0
214103,5.0
214104,44.0
214105,71.0
214106,41.0
214109,50.0
214111,37.0
214112,45.0
214114,15.0
214115,29.0
214116,22.0
214118,41.0
214120,44.0
214121,20.0
214122,97.0
214124,19.0
214125,15.0
214126,13.0
214129,52.0
214130,52.0
214131,12.0
214133,21.0
214134,43.0
214135,42.0
214136,29.0
214137,35.0
214138,42.0
214139,82.0
214140,25.0
214141,117.0
214142,20.0
214143,16.0
214144,32.0
214145,29.0
214146,22.0
214148,38.0
214149,54.0
214151,149.0
214152,90.0
214153,36.0
214154,42.0
214155,66.0
214156,114.0
214158,42.0
214159,71.0
214160,35.0
214161,168.0
214162,17.0
214163,11.0
214164,52.0
214165,31.0
214168,42.0
214169,79.0
214175,69.0
214176,53.0
214177,15.0
214178,42.0
214179,43.0
214180,88.0
214184,59.0
214185,36.0
214186,170.0
214187,50.0
214188,26.0
214191,60.0
214192,12.0
214193,44.0
214194,34.0
214195,11.0
214196,38.0
214197,55.0
214198,33.0
214202,73.0
214203,40.0
214204,191.0
214205,34.0
214206,96.0
214207,57.0
214209,90.0
214210,88.0
214213,31.0
214215,10.0
214216,24.0
214217,27.0
214218,9.0
214221,73.0
214222,22.0
214223,184.0
214224,23.0
214225,20.0
214226,29.0
214227,37.0
214228,29.0
214229,23.0
214230,30.0
214231,42.0
214233,12.0
214235,122.0
214236,86.0
214237,51.0
214240,53.0
214241,58.0
214242,94.0
214245,94.0
214246,51.0
214247,308.0
214248,15.0
214249,9.0
214251,54.0
214252,36.0
214253,62.0
214255,60.0
214256,79.0
214258,14.0
214261,10.0
214262,40.0
214263,21.0
214265,14.0
214266,30.0
214267,26.0
214271,80.0
214272,23.0
214273,127.0
214274,22.0
214275,18.0
214276,29.0
214277,28.0
214278,23.0
214281,33.0
214282,13.0
214283,11.0
214284,19.0
214285,18.0
214286,23.0
214287,28.0
214288,23.0
214292,20.0
214293,29.0
214296,13.0
214297,118.0
214300,151.0
214301,82.0
214302,55.0
214305,70.0
214306,95.0
214307,120.0
214310,19.0
214311,119.0
214312,61.0
214313,82.0
214314,20.0
214315,14.0
214316,75.0
214317,50.0
214318,278.0
214320,11.0
214321,23.0
214322,19.0
214325,85.0
214326,96.0
214327,19.0
214328,7.0
214330,29.0
214331,72.0
214332,38.0
214333,51.0
214334,52.0
214335,26.0
214336,80.0
214337,30.0
214338,39.0
214339,23.0
214340,22.0
214341,35.0
214342,42.0
214343,223.0
214344,12.0
214345,16.0
214346,16.0
214348,10.0
214349,16.0
214350,36.0
214351,34.0
214352,38.0
214355,37.0
214356,29.0
214357,22.0
214358,25.0
214360,79.0
214361,24.0
214362,31.0
214363,13.0
214364,9.0
214366,29.0
214367,48.0
214368,176.0
214370,19.0
214371,20.0
214373,6.0
214374,8.0
214375,13.0
214376,222.0
214377,196.0
214378,70.0
214379,17.0
214381,110.0
214382,154.0
214383,188.0
214387,188.0
214388,87.0
214389,145.0
214390,28.0
214391,23.0
214393,112.0
214394,67.0
214395,342.0
214396,11.0
214397,22.0
214398,47.0
214399,9.0
214400,65.0
214402,11.0
214403,87.0
214404,83.0
214406,48.0
214407,60.0
214408,71.0
214411,38.0
214412,57.0
214413,29.0
214414,54.0
214415,12.0
214416,7.0
214417,46.0
214418,24.0
214421,12.0
214422,15.0
214425,157.0
214426,88.0
214427,70.0
214428,11.0
214430,106.0
214431,136.0
214432,121.0
214434,134.0
214435,105.0
214436,108.0
214437,24.0
214438,12.0
214440,76.0
214441,55.0
214443,10.0
214444,15.0
214445,26.0
214447,32.0
214450,38.0
214454,20.0
214455,37.0
214456,27.0
214457,27.0
214458,39.0
214459,39.0
214460,67.0
214461,22.0
214462,28.0
214463,16.0
214464,13.0
214466,29.0
214467,43.0
214468,120.0
214469,15.0
214470,20.0
214471,22.0
214472,31.0
214473,24.0
214475,12.0
214476,32.0
214477,20.0
214478,28.0
214481,46.0
214482,12.0
214483,45.0
214484,8.0
214487,30.0
214488,130.0
214491,12.0
214494,41.0
214495,27.0
214498,21.0
214499,79.0
214500,46.0
214501,17.0
214504,121.0
214505,48.0
214506,77.0
214507,29.0
214508,29.0
214510,46.0
214511,54.0
214512,176.0
214513,12.0
214514,16.0
214515,19.0
214517,19.0
214518,32.0
214519,31.0
214522,16.0
214523,41.0
214524,17.0
214526,43.0
214527,37.0
214528,16.0
214529,11.0
214530,11.0
214531,24.0
214534,13.0
214539,7.0
214540,17.0
214541,35.0
214542,16.0
214543,16.0
214545,35.0
214546,12.0
214547,18.0
214550,11.0
214551,12.0
214554,7.0
214555,93.0
214556,57.0
214557,35.0
214559,54.0
214560,88.0
214561,89.0
214564,75.0
214565,39.0
214566,61.0
214567,9.0
214569,53.0
214570,25.0
214571,182.0
214572,12.0
214573,23.0
214574,26.0
214575,9.0
214577,50.0
214578,47.0
214579,18.0
214581,35.0
214582,43.0
214583,35.0
214587,51.0
214588,41.0
214589,41.0
214590,30.0
214591,39.0
214592,292.0
214593,10.0
214595,16.0
214596,32.0
214597,27.0
214600,29.0
214601,22.0
214605,79.0
214606,29.0
214607,55.0
214608,21.0
214609,18.0
214610,31.0
214611,39.0
214612,173.0
214614,12.0
214615,16.0
214618,67.0
214619,68.0
214620,29.0
214622,30.0
214623,71.0
214624,40.0
214625,40.0
214626,59.0
214627,57.0
214628,113.0
214629,32.0
214630,52.0
214631,23.0
214632,20.0
214634,44.0
214635,44.0
214636,305.0
214637,16.0
214638,16.0
214639,33.0
214640,7.0
214642,18.0
214643,16.0
214646,32.0
214647,20.0
214651,37.0
214652,12.0
214653,15.0
214656,19.0
214657,85.0
214660,15.0
214661,150.0
214662,104.0
214663,53.0
214665,54.0
214666,63.0
214667,89.0
214671,98.0
214672,49.0
214673,73.0
214674,23.0
214675,15.0
214676,53.0
214677,71.0
214678,252.0
214679,6.0
214680,10.0
214681,20.0
214683,19.0
214688,110.0
214689,93.0
214690,53.0
214693,79.0
214694,107.0
214695,110.0
214696,52.0
214699,76.0
214700,47.0
214701,62.0
214704,56.0
214705,30.0
214706,231.0
214708,12.0
214709,19.0
214710,36.0
214712,70.0
214713,68.0
214714,35.0
214716,26.0
214717,54.0
214718,42.0
214719,25.0
214720,24.0
214721,33.0
214722,91.0
214723,30.0
214724,49.0
214725,26.0
214726,24.0
214727,39.0
214728,48.0
214729,142.0
214730,13.0
214731,20.0
214732,23.0
214733,7.0
214734,13.0
214736,16.0
214737,35.0
214738,24.0
214740,20.0
214741,44.0
214742,22.0
214743,53.0
214745,32.0
214746,57.0
214747,17.0
214748,20.0
214749,19.0
214750,33.0
214751,127.0
214753,15.0
214754,16.0
214755,6.0
214763,20.0
214767,73.0
214768,43.0
214769,28.0
214771,28.0
214772,39.0
214773,58.0
214775,52.0
214776,18.0
214777,44.0
214778,10.0
214780,32.0
214781,21.0
214782,124.0
214785,14.0
214787,9.0
214788,52.0
214789,33.0
214790,12.0
214791,31.0
214792,26.0
214793,16.0
214794,66.0
214795,25.0
214796,32.0
214797,20.0
214798,17.0
214799,35.0
214800,32.0
214801,138.0
214802,12.0
214803,15.0
214804,20.0
214807,19.0
214808,30.0
214809,190.0
214810,142.0
214811,94.0
214813,86.0
214814,120.0
214815,104.0
214818,43.0
214819,130.0
214820,62.0
214821,111.0
214822,26.0
214826,65.0
214827,55.0
214828,329.0
214830,10.0
214831,24.0
214833,22.0
214834,9.0
214836,9.0
214838,12.0
214839,34.0
214841,21.0
214843,59.0
214844,19.0
214845,16.0
214846,11.0
214847,58.0
214848,211.0
214854,87.0
214855,65.0
214856,46.0
214858,51.0
214859,56.0
214860,81.0
214864,58.0
214865,32.0
214866,49.0
214869,36.0
214870,48.0
214872,7.0
214874,19.0
214875,11.0
214877,109.0
214878,82.0
214879,44.0
214880,45.0
214881,60.0
214882,77.0
214884,77.0
214885,34.0
214886,56.0
214887,23.0
214888,14.0
214889,55.0
214890,30.0
214891,222.0
214893,9.0
214894,20.0
214895,5.0
214896,19.0
214899,18.0
214904,34.0
214907,7.0
214908,44.0
214909,128.0
214912,15.0
214914,39.0
214915,26.0
214917,10.0
214918,32.0
214919,100.0
214920,36.0
214921,24.0
214922,28.0
214924,115.0
214925,39.0
214926,59.0
214927,29.0
214928,24.0
214931,39.0
214932,28.0
214933,93.0
214935,21.0
214936,21.0
214940,28.0
214942,7.0
214943,18.0
214944,68.0
214945,32.0
214947,59.0
214948,58.0
214949,43.0
214950,21.0
214951,19.0
214953,8.0
214954,21.0
214955,20.0
214956,129.0
214959,194.0
214960,130.0
214961,28.0
214964,75.0
214965,106.0
214966,105.0
214969,36.0
214970,86.0
214971,41.0
214972,83.0
214973,14.0
214974,8.0
214975,53.0
214976,35.0
214977,225.0
214979,18.0
214980,20.0
214982,10.0
214985,174.0
214986,30.0
214987,6.0
214990,14.0
214991,60.0
214992,20.0
214993,25.0
214994,39.0
214995,27.0
214996,70.0
214997,24.0
214998,33.0
214999,10.0
215000,10.0
215002,47.0
215003,96.0
215004,14.0
215005,16.0
215006,19.0
215008,67.0
215009,56.0
215010,15.0
215011,20.0
215012,35.0
215013,31.0
215014,56.0
215015,52.0
215016,68.0
215017,65.0
215018,20.0
215019,29.0
215020,14.0
215021,12.0
215022,36.0
215023,44.0
215024,175.0
215026,16.0
215027,19.0
215029,10.0
215030,31.0
215031,32.0
215033,20.0
215034,78.0
215035,25.0
215038,54.0
215039,18.0
215040,32.0
215043,17.0
215044,19.0
215048,8.0
215049,7.0
215050,8.0
215051,14.0
215052,69.0
215053,57.0
215054,22.0
215055,19.0
215056,37.0
215057,28.0
215058,24.0
215059,17.0
215060,16.0
215061,54.0
215062,19.0
215063,35.0
215065,14.0
215066,28.0
215067,25.0
215068,193.0
215071,15.0
215072,8.0
215074,14.0
215075,59.0
215076,47.0
215077,24.0
215079,25.0
215080,31.0
215081,52.0
215084,49.0
215085,40.0
215086,19.0
215087,29.0
215088,28.0
215089,20.0
215094,59.0
215095,33.0
215096,25.0
215097,42.0
215098,49.0
215101,34.0
215102,21.0
215103,42.0
215106,29.0
215107,14.0
215111,11.0
215112,65.0
215113,42.0
215114,23.0
215116,27.0
215117,45.0
215118,53.0
215119,75.0
215120,35.0
215121,55.0
215124,31.0
215125,39.0
215126,185.0
215128,8.0
215129,12.0
215130,8.0
215131,27.0
215134,13.0
215135,15.0
215136,13.0
215137,31.0
215142,34.0
215143,15.0
215145,11.0
215146,34.0
215147,169.0
215150,37.0
215151,29.0
215152,11.0
215154,13.0
215156,46.0
215157,16.0
215158,27.0
215159,15.0
215160,13.0
215161,22.0
215162,24.0
215163,61.0
215166,13.0
215167,10.0
215169,36.0
215170,48.0
215171,31.0
215172,7.0
215174,19.0
215175,35.0
215176,29.0
215177,31.0
215179,41.0
215180,66.0
215181,20.0
215182,30.0
215184,7.0
215185,24.0
215186,37.0
215187,175.0
215189,20.0
215190,17.0
215193,19.0
215198,72.0
215199,19.0
215200,37.0
215201,53.0
215202,53.0
215203,51.0
215204,17.0
215205,20.0
215206,13.0
215207,22.0
215211,9.0
215212,31.0
215213,24.0
215214,11.0
215215,13.0
215216,32.0
215217,14.0
215218,32.0
215219,34.0
215220,67.0
215221,17.0
215222,25.0
215223,13.0
215226,43.0
215227,191.0
215230,17.0
215232,67.0
215233,67.0
215236,22.0
215237,36.0
215238,33.0
215239,25.0
215240,20.0
215241,26.0
215242,61.0
215243,30.0
215244,32.0
215245,26.0
215246,21.0
215247,34.0
215248,26.0
215249,201.0
215251,9.0
215252,16.0
215253,21.0
215254,149.0
215255,118.0
215256,42.0
215258,70.0
215259,107.0
215260,102.0
215263,23.0
215264,77.0
215265,55.0
215266,69.0
215269,55.0
215270,40.0
215274,20.0
215278,42.0
215279,36.0
215280,12.0
215282,15.0
215283,34.0
215284,24.0
215287,51.0
215288,17.0
215289,25.0
215290,21.0
215291,19.0
215292,26.0
215293,18.0
215297,13.0
215299,19.0
215300,17.0
215302,8.0
215303,42.0
215304,98.0
215305,25.0
215308,80.0
215309,30.0
215310,24.0
215312,17.0
215313,68.0
215314,219.0
215317,17.0
215320,47.0
215321,46.0
215322,24.0
215324,30.0
215325,74.0
215326,45.0
215327,59.0
215328,64.0
215329,58.0
215330,66.0
215331,32.0
215332,40.0
215333,16.0
215335,32.0
215336,24.0
215337,188.0
215338,15.0
215339,21.0
215340,17.0
215342,50.0
215343,46.0
215346,21.0
215347,32.0
215348,48.0
215350,41.0
215351,19.0
215352,36.0
215355,31.0
215359,12.0
215362,97.0
215363,67.0
215364,23.0
215366,40.0
215367,52.0
215368,65.0
215372,53.0
215373,40.0
215374,43.0
215375,47.0
215376,31.0
215377,340.0
215380,15.0
215382,197.0
215383,118.0
215384,71.0
215387,76.0
215388,101.0
215389,104.0
215391,108.0
215392,54.0
215393,82.0
215394,35.0
215395,32.0
215397,62.0
215398,46.0
215399,350.0
215400,12.0
215401,12.0
215402,35.0
215403,6.0
215404,23.0
215407,215.0
215408,165.0
215409,58.0
215410,10.0
215412,95.0
215413,124.0
215414,121.0
215418,100.0
215419,54.0
215420,77.0
215421,16.0
215422,11.0
215424,73.0
215425,43.0
215426,267.0
215427,9.0
215428,18.0
215429,29.0
215431,16.0
215435,20.0
215436,15.0
215437,12.0
215438,7.0
215439,23.0
215440,58.0
215441,24.0
215444,74.0
215445,22.0
215446,51.0
215447,6.0
215448,18.0
215450,171.0
215453,17.0
215455,34.0
215456,37.0
215458,22.0
215459,33.0
215460,14.0
215463,54.0
215464,16.0
215465,16.0
215468,14.0
215469,45.0
215470,194.0
215472,8.0
215473,12.0
215474,8.0
